State,City,Recipient,Grant Category,Amount,Population Estimate (Census),Spending Per Person
Louisiana,Baton Rouge,WRKF,Radio Community Service Grant,"$137,991","4,573,749",$1.01
Louisiana,Hammond,KSLU,Radio Community Service Grant,"$112,249","4,573,749",$1.01
Louisiana,Lafayette,KRVS,Radio Community Service Grant,"$152,441","4,573,749",$1.01
Louisiana,Metairie,WLAE,Other System Support,"$7,155","4,573,749",$1.01
Louisiana,Metairie,WLAE,Television Community Service Grant,"$417,996","4,573,749",$1.01
Louisiana,Monroe,KEDM,Radio Community Service Grant,"$136,437","4,573,749",$1.01
Louisiana,New Orleans,WWNO,Radio Community Service Grant,"$181,721","4,573,749",$1.01
Louisiana,New Orleans,WWOZ,Radio Community Service Grant,"$248,339","4,573,749",$1.01
Louisiana,New Orleans,WYES,Other System Support,"$11,199","4,573,749",$1.01
Louisiana,New Orleans,WYES,Television Community Service Grant,"$650,187","4,573,749",$1.01
Louisiana,Shreveport,KDAQ,Radio Community Service Grant,"$160,978","4,573,749",$1.01
Maine,East Orland,WERU,Radio Community Service Grant,"$135,354","1,395,722",$1.73
Maine,Lewiston,Maine Network,Other System Support,"$21,377","1,395,722",$1.73
Maine,Lewiston,Maine Network,Television Community Service Grant,"$1,344,084","1,395,722",$1.73
Maine,Lewiston,WMEH,Radio Community Service Grant,"$517,912","1,395,722",$1.73
Maine,Portland,WMEA,Radio Community Service Grant,"$393,849","1,395,722",$1.73
Maryland,Baltimore,WBJC,Radio Community Service Grant,"$132,296","6,180,253",$0.87
Maryland,Baltimore,WEAA,Radio Community Service Grant,"$211,034","6,180,253",$0.87
Maryland,Baltimore,WYPR,Radio Community Service Grant,"$500,933","6,180,253",$0.87
Maryland,Chevy Chase,Mexican Table LLC,Television Programming,"$450,000","6,180,253",$0.87
Maryland,Owings Mills,Maryland Network,Ready to Learn,"$185,000","6,180,253",$0.87
Maryland,Owings Mills,Maryland Network,Television Community Service Grant,"$3,238,521","6,180,253",$0.87
Maryland,Owings Mills,Maryland Network,Television Programming,"$271,561","6,180,253",$0.87
Maryland,Owings Mills,Maryland Network,Other System Support,"$55,714","6,180,253",$0.87
Maryland,Princess Anne,WESM,Radio Community Service Grant,"$187,677","6,180,253",$0.87
Maryland,Rockville,Public Media Business Association,Other System Support,"$42,400","6,180,253",$0.87
Maryland,Salisbury,WSCL,Radio Community Service Grant,"$97,931","6,180,253",$0.87
Massachusetts,Boston,"PRX, Inc.",Ready to Learn,"$200,990","7,001,399",$2.43
Massachusetts,Boston,WBUR,Radio Community Service Grant,"$1,677,481","7,001,399",$2.43
Massachusetts,Boston,WERS,Radio Community Service Grant,"$112,425","7,001,399",$2.43
Massachusetts,Boston,WFCR,Radio Community Service Grant,"$206,524","7,001,399",$2.43
Massachusetts,Boston,WGBH,Television Community Service Grant,"$6,917,157","7,001,399",$2.43
Massachusetts,Boston,WGBH,Television Programming,"$4,688,853","7,001,399",$2.43
Massachusetts,Boston,WGBH,Other System Support,"$1,654,864","7,001,399",$2.43
Massachusetts,Boston,WGBH,Radio Community Service Grant,"$1,035,200","7,001,399",$2.43
Massachusetts,Boston,WUMB,Radio Community Service Grant,"$120,567","7,001,399",$2.43
Massachusetts,Provincetown,WOMR,Radio Community Service Grant,"$111,865","7,001,399",$2.43
Massachusetts,West Tisbury,WMVY,Radio Community Service Grant,"$209,010","7,001,399",$2.43
Massachusetts,Worcester,WICN,Radio Community Service Grant,"$84,979","7,001,399",$2.43
Michigan,Ann Arbor,WUOM,Radio Community Service Grant,"$483,744","10,037,261",$1.00
Michigan,Detroit,WDET,Radio Community Service Grant,"$262,191","10,037,261",$1.00
Michigan,Detroit,WRCJ,Radio Community Service Grant,"$119,457","10,037,261",$1.00
Michigan,East Lansing,WKAR,Radio Community Service Grant,"$223,280","10,037,261",$1.00
Michigan,East Lansing,WKAR,Television Community Service Grant,"$1,249,459","10,037,261",$1.00
Michigan,East Lansing,WKAR,Other System Support,"$21,287","10,037,261",$1.00
Michigan,Grand Rapids,WGVU,Television Community Service Grant,"$1,156,966","10,037,261",$1.00
Michigan,Grand Rapids,WGVU,Other System Support,"$19,750","10,037,261",$1.00
Michigan,Grand Rapids,WGVU,Radio Community Service Grant,"$105,803","10,037,261",$1.00
Michigan,Interlochen,WIAA,Radio Community Service Grant,"$230,510","10,037,261",$1.00
Michigan,Kalamazoo,WMUK,Radio Community Service Grant,"$156,150","10,037,261",$1.00
Michigan,Marquette,WNMU,Radio Community Service Grant,"$158,554","10,037,261",$1.00
Michigan,Marquette,WNMU,Television Community Service Grant,"$873,543","10,037,261",$1.00
Michigan,Marquette,WNMU,Other System Support,"$13,005","10,037,261",$1.00
Michigan,Mount Pleasant,WCMU,Television Community Service Grant,"$1,170,444","10,037,261",$1.00
Michigan,Mount Pleasant,WCMU,Other System Support,"$17,974","10,037,261",$1.00
Michigan,Mount Pleasant,WCMU,Radio Community Service Grant,"$294,644","10,037,261",$1.00
Michigan,Muskegon,WUVS,Radio Community Service Grant,"$142,396","10,037,261",$1.00
Michigan,Twin Lake,WBLV,Radio Community Service Grant,"$116,541","10,037,261",$1.00
Michigan,University Center,WDCQ,Television Community Service Grant,"$892,306","10,037,261",$1.00
Michigan,University Center,WDCQ,Other System Support,"$14,718","10,037,261",$1.00
Michigan,Wixom,WTVS,Other System Support,"$37,166","10,037,261",$1.00
Michigan,Wixom,WTVS,Ready to Learn,"$50,000","10,037,261",$1.00
Michigan,Wixom,WTVS,Television Community Service Grant,"$2,082,929","10,037,261",$1.00
Michigan,Ypsilanti,WEMU,Radio Community Service Grant,"$125,907","10,037,261",$1.00
Minnesota,Austin,KSMQ,Other System Support,"$13,010","5,737,915",$2.29
Minnesota,Austin,KSMQ,Television Community Service Grant,"$798,333","5,737,915",$2.29
Minnesota,Bemidji,KAWE,Other System Support,"$13,256","5,737,915",$2.29
Minnesota,Bemidji,KAWE,Television Community Service Grant,"$903,813","5,737,915",$2.29
Minnesota,Callaway,KKWE,Radio Community Service Grant,"$183,117","5,737,915",$2.29
Minnesota,Cass Lake,KOJB,Radio Community Service Grant,"$151,990","5,737,915",$2.29
Minnesota,Duluth,WDSE,Other System Support,"$16,265","5,737,915",$2.29
Minnesota,Duluth,WDSE,Radio Community Service Grant,"$135,212","5,737,915",$2.29
Minnesota,Duluth,WDSE,Television Community Service Grant,"$1,048,778","5,737,915",$2.29
Minnesota,Grand Marais,WTIP,Radio Community Service Grant,"$153,723","5,737,915",$2.29
Minnesota,Grand Rapids,KAXE,Radio Community Service Grant,"$170,862","5,737,915",$2.29
Minnesota,Granite Falls,KWCM,Other System Support,"$13,537","5,737,915",$2.29
Minnesota,Granite Falls,KWCM,Television Community Service Grant,"$872,407","5,737,915",$2.29
Minnesota,Minneapolis,Greater Public,Other System Support,"$58,200","5,737,915",$2.29
Minnesota,Minneapolis,KBEM,Radio Community Service Grant,"$100,588","5,737,915",$2.29
Minnesota,Minneapolis,KFAI,Radio Community Service Grant,"$105,872","5,737,915",$2.29
Minnesota,Minneapolis,KMOJ,Radio Community Service Grant,"$191,176","5,737,915",$2.29
Minnesota,Nett Lake,KBFT,Radio Community Service Grant,"$208,121","5,737,915",$2.29
Minnesota,Saint Paul,KTCA,Other System Support,"$69,673","5,737,915",$2.29
Minnesota,Saint Paul,KTCA,Television Community Service Grant,"$3,899,344","5,737,915",$2.29
Minnesota,St. Paul,KBPR,Radio Community Service Grant,"$175,915","5,737,915",$2.29
Minnesota,St. Paul,KCCM,Radio Community Service Grant,"$205,628","5,737,915",$2.29
Minnesota,St. Paul,KLSE,Radio Community Service Grant,"$389,486","5,737,915",$2.29
Minnesota,St. Paul,KSJN,Radio Community Service Grant,"$2,633,870","5,737,915",$2.29
Minnesota,St. Paul,KSJR,Radio Community Service Grant,"$214,527","5,737,915",$2.29
Minnesota,St. Paul,WSCD,Radio Community Service Grant,"$306,475","5,737,915",$2.29
Minnesota,Thief River Falls,KSRQ,Radio Community Service Grant,"$133,093","5,737,915",$2.29
Mississippi,Holly Springs,WURC,Radio Community Service Grant,"$211,539","2,939,690",$0.82
Mississippi,Jackson,Mississippi Public Broadcasting,Other System Support,"$23,647","2,939,690",$0.82
Mississippi,Jackson,Mississippi Public Broadcasting,Television Community Service Grant,"$1,620,560","2,939,690",$0.82
Mississippi,Jackson,WJSU,Radio Community Service Grant,"$142,732","2,939,690",$0.82
Mississippi,Jackson,WMPN,Radio Community Service Grant,"$198,681","2,939,690",$0.82
Mississippi,Lorman,WPRL,Radio Community Service Grant,"$201,750","2,939,690",$0.82
Missouri,Cape Girardeau,KRCU,Radio Community Service Grant,"$131,750","6,196,156",$1.18
Missouri,Columbia,KBIA,Radio Community Service Grant,"$208,935","6,196,156",$1.18
Missouri,Columbia,KOPN,Radio Community Service Grant,"$95,420","6,196,156",$1.18
Missouri,Jefferson City,KJLU,Radio Community Service Grant,"$195,129","6,196,156",$1.18
Missouri,Kansas City,KCPT,Television Community Service Grant,"$1,485,490","6,196,156",$1.18
Missouri,Kansas City,KCPT,Other System Support,"$26,217","6,196,156",$1.18
Missouri,Kansas City,KCUR,Radio Community Service Grant,"$434,836","6,196,156",$1.18
Missouri,Kansas City,KKFI,Radio Community Service Grant,"$81,722","6,196,156",$1.18
Missouri,Kansas City,KTBG,Radio Community Service Grant,"$75,639","6,196,156",$1.18
Missouri,Maryville,KXCV,Radio Community Service Grant,"$159,720","6,196,156",$1.18
Missouri,Springfield,KOZK,Other System Support,"$15,847","6,196,156",$1.18
Missouri,Springfield,KOZK,Television Community Service Grant,"$968,298","6,196,156",$1.18
Missouri,Springfield,KSMU,Radio Community Service Grant,"$131,643","6,196,156",$1.18
Missouri,St. Louis,KDHX,Radio Community Service Grant,"$106,880","6,196,156",$1.18
Missouri,St. Louis,KETC,Other System Support,"$29,229","6,196,156",$1.18
Missouri,St. Louis,KETC,Ready to Learn,"$50,000","6,196,156",$1.18
Missouri,St. Louis,KETC,Television Community Service Grant,"$1,651,397","6,196,156",$1.18
Missouri,St. Louis,KWMU,Radio Community Service Grant,"$582,677","6,196,156",$1.18
Missouri,Warrensburg,KMOS,Other System Support,"$13,243","6,196,156",$1.18
Missouri,Warrensburg,KMOS,Television Community Service Grant,"$862,919","6,196,156",$1.18
Montana,Billings,KEMC,Radio Community Service Grant,"$237,718","1,132,812",$2.13
Montana,Bozeman,KGLT,Radio Community Service Grant,"$131,267","1,132,812",$2.13
Montana,Bozeman,KUSM,Other System Support,"$22,308","1,132,812",$2.13
Montana,Bozeman,KUSM,Television Community Service Grant,"$1,520,300","1,132,812",$2.13
Montana,Harlem,KGVA,Radio Community Service Grant,"$183,349","1,132,812",$2.13
Montana,Missoula,KUFM,Radio Community Service Grant,"$313,791","1,132,812",$2.13
Nebraska,Lincoln,KUCV,Radio Community Service Grant,"$279,297","1,978,379",$3.00
Nebraska,Lincoln,KUON,Television Community Service Grant,"$1,573,687","1,978,379",$3.00
Nebraska,Lincoln,KUON,Other System Support,"$27,205","1,978,379",$3.00
Nebraska,Lincoln,KUON,Ready to Learn,"$75,000","1,978,379",$3.00
Nebraska,Lincoln,KZUM,Radio Community Service Grant,"$96,375","1,978,379",$3.00
Nebraska,Lincoln,Nebraska Network,Other System Support,"$24,636","1,978,379",$3.00
Nebraska,Lincoln,Nebraska Network,Television Community Service Grant,"$1,738,134","1,978,379",$3.00
Nebraska,Lincoln,Vision Maker Media,Other System Support,"$664,791","1,978,379",$3.00
Nebraska,Lincoln,Vision Maker Media,Television Programming,"$1,193,800","1,978,379",$3.00
Nebraska,Omaha,KIOS,Radio Community Service Grant,"$135,082","1,978,379",$3.00
Nebraska,Omaha,KVNO,Radio Community Service Grant,"$124,684","1,978,379",$3.00
Nevada,Las Vegas,KLVX,Other System Support,"$30,209","3,194,176",$1.06
Nevada,Las Vegas,KLVX,Ready to Learn,"$50,000","3,194,176",$1.06
Nevada,Las Vegas,KLVX,Television Community Service Grant,"$1,683,085","3,194,176",$1.06
Nevada,Las Vegas,KNPR,Radio Community Service Grant,"$169,674","3,194,176",$1.06
Nevada,Reno,KNPB,Other System Support,"$19,247","3,194,176",$1.06
Nevada,Reno,KNPB,Television Community Service Grant,"$1,190,908","3,194,176",$1.06
Nevada,Reno,KUNR,Radio Community Service Grant,"$245,726","3,194,176",$1.06
New Hampshire,Concord,"New Hampshire Public Radio, Inc.",Radio Community Service Grant,"$479,439","1,402,054",$1.18
New Hampshire,Durham,New Hampshire Network,Other System Support,"$19,532","1,402,054",$1.18
New Hampshire,Durham,New Hampshire Network,Television Community Service Grant,"$1,151,624","1,402,054",$1.18
New Jersey,Jersey City,WFMU,Radio Community Service Grant,"$158,969","9,290,841",$0.21
New Jersey,Lincroft,WBJB,Radio Community Service Grant,"$86,536","9,290,841",$0.21
New Jersey,Montclair,Montclair State University Foundation,Other System Support,"$5,000","9,290,841",$0.21
New Jersey,Newark,WBGO,Radio Community Service Grant,"$233,571","9,290,841",$0.21
New Jersey,Trenton,New Jersey Network,Other System Support,"$23,656","9,290,841",$0.21
New Jersey,Trenton,New Jersey Network,Television Community Service Grant,"$1,320,116","9,290,841",$0.21
New Jersey,West Windsor,WWFM,Radio Community Service Grant,"$109,740","9,290,841",$0.21
New Mexico,Alamo,KABR,Radio Community Service Grant,"$189,827","2,114,371",$2.54
New Mexico,Albuquerque,KANW,Radio Community Service Grant,"$229,592","2,114,371",$2.54
New Mexico,Albuquerque,KHFM,Radio Community Service Grant,"$100,912","2,114,371",$2.54
New Mexico,Albuquerque,KNME,Other System Support,"$24,505","2,114,371",$2.54
New Mexico,Albuquerque,KNME,Television Community Service Grant,"$1,453,327","2,114,371",$2.54
New Mexico,Albuquerque,KUNM,Radio Community Service Grant,"$236,469","2,114,371",$2.54
New Mexico,Dulce,KCIE,Radio Community Service Grant,"$209,637","2,114,371",$2.54
New Mexico,Farmington,KSJE,Radio Community Service Grant,"$114,162","2,114,371",$2.54
New Mexico,Gallup,KGLP,Radio Community Service Grant,"$186,071","2,114,371",$2.54
New Mexico,Las Cruces,KRWG,Other System Support,"$14,315","2,114,371",$2.54
New Mexico,Las Cruces,KRWG,Radio Community Service Grant,"$232,479","2,114,371",$2.54
New Mexico,Las Cruces,KRWG,Television Community Service Grant,"$828,374","2,114,371",$2.54
New Mexico,Pine Hill,KTDB,Radio Community Service Grant,"$185,692","2,114,371",$2.54
New Mexico,Portales,KENW,Other System Support,"$13,659","2,114,371",$2.54
New Mexico,Portales,KENW,Radio Community Service Grant,"$125,825","2,114,371",$2.54
New Mexico,Portales,KENW,Television Community Service Grant,"$908,709","2,114,371",$2.54
New Mexico,Santa Fe,KSFR,Radio Community Service Grant,"$122,803","2,114,371",$2.54
New Mexico,Zuni,KSHI,Radio Community Service Grant,"$183,593","2,114,371",$2.54
New York,Albany,WAMC,Radio Community Service Grant,"$440,066","19,571,216",$2.05
New York,Bronx,WFUV,Radio Community Service Grant,"$395,207","19,571,216",$2.05
New York,Brooklyn,StoryCorps,Radio Programming,"$1,800,000","19,571,216",$2.05
New York,Buffalo,WNED,Television Community Service Grant,"$1,578,419","19,571,216",$2.05
New York,Buffalo,WNED,Other System Support,"$27,759","19,571,216",$2.05
New York,Buffalo,WNED,Radio Community Service Grant,"$210,582","19,571,216",$2.05
New York,Buffalo,WNED,Ready to Learn,"$75,000","19,571,216",$2.05
New York,Canton,WSLU,Radio Community Service Grant,"$280,672","19,571,216",$2.05
New York,Geneva,WEOS,Radio Community Service Grant,"$99,070","19,571,216",$2.05
New York,Jamestown,WRFA,Radio Community Service Grant,"$96,881","19,571,216",$2.05
New York,Jeffersonville,WJFF,Radio Community Service Grant,"$158,065","19,571,216",$2.05
New York,New York,Black Public Media,Other System Support,"$680,901","19,571,216",$2.05
New York,New York,Black Public Media,Television Programming,"$1,677,690","19,571,216",$2.05
New York,New York,"Education Development Center, Inc.",Ready to Learn,"$3,817,728","19,571,216",$2.05
New York,New York,"Rebel Productions, Inc.",Other System Support,"$30,000","19,571,216",$2.05
New York,New York,Sesame Workshop,Television Programming,"$1,500,000","19,571,216",$2.05
New York,New York,"Thirteen Productions, LLC",Television Programming,"$2,029,538","19,571,216",$2.05
New York,New York,WLIW,Radio Community Service Grant,"$78,687","19,571,216",$2.05
New York,New York,WNET,Other System Support,"$2,271,238","19,571,216",$2.05
New York,New York,WNET,Ready to Learn,"$50,000","19,571,216",$2.05
New York,New York,WNET,Television Community Service Grant,"$9,520,946","19,571,216",$2.05
New York,New York,WNET,Television Programming,"$1,100,000","19,571,216",$2.05
New York,New York,WNYC,Radio Community Service Grant,"$2,620,470","19,571,216",$2.05
New York,New York,WNYE,Other System Support,"$30,945","19,571,216",$2.05
New York,New York,WNYE,Television Community Service Grant,"$1,722,812","19,571,216",$2.05
New York,Oswego,WRVO,Radio Community Service Grant,"$159,054","19,571,216",$2.05
New York,Plattsburgh,WCFE,Other System Support,"$13,494","19,571,216",$2.05
New York,Plattsburgh,WCFE,Television Community Service Grant,"$847,372","19,571,216",$2.05
New York,Rochester,WXXI,Ready to Learn,"$185,000","19,571,216",$2.05
New York,Rochester,WXXI,Television Community Service Grant,"$1,472,404","19,571,216",$2.05
New York,Rochester,WXXI,Other System Support,"$25,704","19,571,216",$2.05
New York,Rochester,WXXI,Radio Community Service Grant,"$196,783","19,571,216",$2.05
New York,Syracuse,WAER,Radio Community Service Grant,"$146,007","19,571,216",$2.05
New York,Syracuse,WCNY,Radio Community Service Grant,"$76,553","19,571,216",$2.05
New York,Syracuse,WCNY,Television Community Service Grant,"$1,131,689","19,571,216",$2.05
New York,Syracuse,WCNY,Other System Support,"$19,134","19,571,216",$2.05
New York,Troy,WMHT,Television Community Service Grant,"$1,286,517","19,571,216",$2.05
New York,Troy,WMHT,Other System Support,"$22,078","19,571,216",$2.05
New York,Troy,WMHT,Radio Community Service Grant,"$127,390","19,571,216",$2.05
New York,Vestal,WSKG,Other System Support,"$15,145","19,571,216",$2.05
New York,Vestal,WSKG,Radio Community Service Grant,"$215,218","19,571,216",$2.05
New York,Vestal,WSKG,Television Community Service Grant,"$956,329","19,571,216",$2.05
New York,Watertown,WPBS,Other System Support,"$13,998","19,571,216",$2.05
New York,Watertown,WPBS,Television Community Service Grant,"$915,760","19,571,216",$2.05
North Carolina,Asheville,WCQS,Radio Community Service Grant,"$268,942","10,835,491",$0.70
North Carolina,Chapel Hill,WUNC,Radio Community Service Grant,"$702,243","10,835,491",$0.70
North Carolina,Charlotte,WFAE,Radio Community Service Grant,"$421,587","10,835,491",$0.70
North Carolina,Charlotte,WTVI,Other System Support,"$18,140","10,835,491",$0.70
North Carolina,Charlotte,WTVI,Ready to Learn,"$75,000","10,835,491",$0.70
North Carolina,Charlotte,WTVI,Television Community Service Grant,"$1,056,182","10,835,491",$0.70
North Carolina,Davidson,WDAV,Radio Community Service Grant,"$171,381","10,835,491",$0.70
North Carolina,Durham,WNCU,Radio Community Service Grant,"$165,849","10,835,491",$0.70
North Carolina,Elizabeth City,WRVS,Radio Community Service Grant,"$187,172","10,835,491",$0.70
North Carolina,New Bern,WTEB,Radio Community Service Grant,"$126,229","10,835,491",$0.70
North Carolina,Research Triangle Park,PBS North Carolina,Other System Support,"$58,567","10,835,491",$0.70
North Carolina,Research Triangle Park,PBS North Carolina,Television Community Service Grant,"$3,772,601","10,835,491",$0.70
North Carolina,Spindale,WNCW,Radio Community Service Grant,"$127,358","10,835,491",$0.70
North Carolina,Wilmington,WHQR,Radio Community Service Grant,"$138,557","10,835,491",$0.70
North Carolina,Winston-Salem,WFDD,Radio Community Service Grant,"$257,309","10,835,491",$0.70
North Dakota,Belcourt,KEYA,Radio Community Service Grant,"$215,534","783,926",$3.08
North Dakota,Fargo,KCND,Radio Community Service Grant,"$209,826","783,926",$3.08
North Dakota,Fargo,Prairie Public Television,Other System Support,"$20,239","783,926",$3.08
North Dakota,Fargo,Prairie Public Television,Television Community Service Grant,"$1,538,172","783,926",$3.08
North Dakota,New Town,KMHA,Radio Community Service Grant,"$233,671","783,926",$3.08
North Dakota,St. Michaels,KABU,Radio Community Service Grant,"$195,689","783,926",$3.08
Ohio,Akron,WAPS,Radio Community Service Grant,"$107,042","11,785,935",$1.05
Ohio,Athens,WOUB,Television Community Service Grant,"$1,103,811","11,785,935",$1.05
Ohio,Athens,WOUB,Other System Support,"$18,387","11,785,935",$1.05
Ohio,Athens,WOUB,Radio Community Service Grant,"$185,816","11,785,935",$1.05
Ohio,Bowling Green,WBGU,Other System Support,"$14,706","11,785,935",$1.05
Ohio,Bowling Green,WBGU,Television Community Service Grant,"$876,726","11,785,935",$1.05
Ohio,Cincinnati,WCET,Television Community Service Grant,"$1,217,273","11,785,935",$1.05
Ohio,Cincinnati,WCET,Other System Support,"$21,335","11,785,935",$1.05
Ohio,Cincinnati,WGUC,Radio Community Service Grant,"$441,713","11,785,935",$1.05
Ohio,Cleveland,ideastream Public Media,Ready to Learn,"$75,000","11,785,935",$1.05
Ohio,Cleveland,WCPN,Radio Community Service Grant,"$678,569","11,785,935",$1.05
Ohio,Cleveland,WVIZ,Other System Support,"$33,631","11,785,935",$1.05
Ohio,Cleveland,WVIZ,Television Community Service Grant,"$1,893,172","11,785,935",$1.05
Ohio,Columbus,WCBE,Radio Community Service Grant,"$137,719","11,785,935",$1.05
Ohio,Columbus,WOSU,Radio Community Service Grant,"$250,609","11,785,935",$1.05
Ohio,Columbus,WOSU,Ready to Learn,"$75,000","11,785,935",$1.05
Ohio,Columbus,WOSU,Television Community Service Grant,"$1,424,239","11,785,935",$1.05
Ohio,Columbus,WOSU,Other System Support,"$24,770","11,785,935",$1.05
Ohio,Dayton,WDPR,Radio Community Service Grant,"$112,421","11,785,935",$1.05
Ohio,Dayton,WPTD,Other System Support,"$18,267","11,785,935",$1.05
Ohio,Dayton,WPTD,Television Community Service Grant,"$1,047,802","11,785,935",$1.05
Ohio,Kent,WNEO,Other System Support,"$18,217","11,785,935",$1.05
Ohio,Kent,WNEO,Television Community Service Grant,"$1,046,610","11,785,935",$1.05
Ohio,Springdale,WMKV,Radio Community Service Grant,"$89,223","11,785,935",$1.05
Ohio,Toledo,WGTE,Other System Support,"$15,868","11,785,935",$1.05
Ohio,Toledo,WGTE,Radio Community Service Grant,"$107,399","11,785,935",$1.05
Ohio,Toledo,WGTE,Television Community Service Grant,"$908,971","11,785,935",$1.05
Ohio,Wilberforce,WCSU,Radio Community Service Grant,"$118,841","11,785,935",$1.05
Ohio,Yellow Springs,WYSO,Radio Community Service Grant,"$164,216","11,785,935",$1.05
Ohio,Youngstown,WYSU,Radio Community Service Grant,"$117,105","11,785,935",$1.05
Oklahoma,Claremore,KRSU,Other System Support,"$12,655","4,053,824",$0.74
Oklahoma,Claremore,KRSU,Television Community Service Grant,"$743,097","4,053,824",$0.74
Oklahoma,Edmond,KUCO,Radio Community Service Grant,"$90,244","4,053,824",$0.74
Oklahoma,Lawton,KCCU,Radio Community Service Grant,"$90,179","4,053,824",$0.74
Oklahoma,Norman,KGOU,Radio Community Service Grant,"$153,166","4,053,824",$0.74
Oklahoma,Oklahoma City,Oklahoma Network,Other System Support,"$26,406","4,053,824",$0.74
Oklahoma,Oklahoma City,Oklahoma Network,Television Community Service Grant,"$1,583,811","4,053,824",$0.74
Oklahoma,Stillwater,KOSU,Radio Community Service Grant,"$157,217","4,053,824",$0.74
Oklahoma,Tulsa,KWGS,Radio Community Service Grant,"$153,554","4,053,824",$0.74
Oregon,Ashland,KNCA,Radio Community Service Grant,"$138,530","4,233,358",$1.78
Oregon,Ashland,KSOR,Radio Community Service Grant,"$296,221","4,233,358",$1.78
Oregon,Astoria,KMUN,Radio Community Service Grant,"$142,133","4,233,358",$1.78
Oregon,Eugene,KLCC,Radio Community Service Grant,"$354,534","4,233,358",$1.78
Oregon,Eugene,KRVM,Radio Community Service Grant,"$149,502","4,233,358",$1.78
Oregon,Eugene,KWAX,Radio Community Service Grant,"$146,647","4,233,358",$1.78
Oregon,Medford,KSYS,Television Community Service Grant,"$867,369","4,233,358",$1.78
Oregon,Medford,KSYS,Other System Support,"$13,043","4,233,358",$1.78
Oregon,Pendleton,KCUW,Radio Community Service Grant,"$189,272","4,233,358",$1.78
Oregon,Portland,KBOO,Radio Community Service Grant,"$65,345","4,233,358",$1.78
Oregon,Portland,KOPB,Radio Community Service Grant,"$1,260,584","4,233,358",$1.78
Oregon,Portland,KQAC,Radio Community Service Grant,"$262,049","4,233,358",$1.78
Oregon,Portland,Oregon Network,Other System Support,"$54,819","4,233,358",$1.78
Oregon,Portland,Oregon Network,Television Community Service Grant,"$3,364,250","4,233,358",$1.78
Oregon,Warm Springs,KWSO,Radio Community Service Grant,"$211,316","4,233,358",$1.78
Pennsylvania,Bethlehem,WDIY,Radio Community Service Grant,"$92,792","12,961,683",$1.39
Pennsylvania,Bethlehem,WLVT,Other System Support,"$19,764","12,961,683",$1.39
Pennsylvania,Bethlehem,WLVT,Ready to Learn,"$50,000","12,961,683",$1.39
Pennsylvania,Bethlehem,WLVT,Television Community Service Grant,"$1,114,479","12,961,683",$1.39
Pennsylvania,Erie,WQLN,Other System Support,"$12,896","12,961,683",$1.39
Pennsylvania,Erie,WQLN,Radio Community Service Grant,"$93,474","12,961,683",$1.39
Pennsylvania,Erie,WQLN,Television Community Service Grant,"$844,304","12,961,683",$1.39
Pennsylvania,Harrisburg,WITF,Radio Community Service Grant,"$191,536","12,961,683",$1.39
Pennsylvania,Harrisburg,WITF,Television Community Service Grant,"$1,152,861","12,961,683",$1.39
Pennsylvania,Harrisburg,WITF,Other System Support,"$19,815","12,961,683",$1.39
Pennsylvania,Lancaster,WLCH,Radio Community Service Grant,"$139,718","12,961,683",$1.39
Pennsylvania,Philadelphia,Mighty Picnic LLC,Television Programming,"$3,000,000","12,961,683",$1.39
Pennsylvania,Philadelphia,WHYY,Other System Support,"$169,788","12,961,683",$1.39
Pennsylvania,Philadelphia,WHYY,Radio Community Service Grant,"$717,746","12,961,683",$1.39
Pennsylvania,Philadelphia,WHYY,Radio Programming,"$180,000","12,961,683",$1.39
Pennsylvania,Philadelphia,WHYY,Television Community Service Grant,"$2,783,640","12,961,683",$1.39
Pennsylvania,Philadelphia,WRTI,Radio Community Service Grant,"$323,101","12,961,683",$1.39
Pennsylvania,Philadelphia,WXPN,Other System Support,"$12,500","12,961,683",$1.39
Pennsylvania,Philadelphia,WXPN,Radio Community Service Grant,"$442,615","12,961,683",$1.39
Pennsylvania,Pittsburgh,"Public Radio Program Directors Association, Inc.",Other System Support,"$40,000","12,961,683",$1.39
Pennsylvania,Pittsburgh,The Fred Rogers Productions,Television Programming,"$1,400,000","12,961,683",$1.39
Pennsylvania,Pittsburgh,WQED,Television Community Service Grant,"$1,672,655","12,961,683",$1.39
Pennsylvania,Pittsburgh,WQED,Other System Support,"$29,311","12,961,683",$1.39
Pennsylvania,Pittsburgh,WQED,Radio Community Service Grant,"$102,589","12,961,683",$1.39
Pennsylvania,Pittsburgh,WQED,Ready to Learn,"$50,000","12,961,683",$1.39
Pennsylvania,Pittsburgh,WYEP,Radio Community Service Grant,"$560,656","12,961,683",$1.39
Pennsylvania,Pittston,WVIA,Television Community Service Grant,"$898,970","12,961,683",$1.39
Pennsylvania,Pittston,WVIA,Other System Support,"$15,126","12,961,683",$1.39
Pennsylvania,Pittston,WVIA,Radio Community Service Grant,"$99,016","12,961,683",$1.39
Pennsylvania,University Park,WPSU,Television Community Service Grant,"$1,578,020","12,961,683",$1.39
Pennsylvania,University Park,WPSU,Other System Support,"$26,110","12,961,683",$1.39
Pennsylvania,University Park,WPSU,Radio Community Service Grant,"$180,546","12,961,683",$1.39
Pennsylvania,University Park,WPSU,Ready to Learn,"$10,000","12,961,683",$1.39
Puerto Rico,Rio Piedras,WMTJ,Television Community Service Grant,"$351,589","3,205,691",$0.43
